timestamp,temperature,humidity,pressure,wind_speed,wind_direction,rain
08:50:00,32.5,42.0,1012.4,4.5,180,"No"
08:50:05,32.4,42.6,1012.3,4.6,181,"No"
08:50:10,32.3,43.1,1012.2,4.8,182,"No"
08:50:15,32.2,43.7,1012.0,4.9,183,"No"
08:50:20,32.1,44.3,1011.9,5.1,183,"No"
08:50:25,32.0,44.9,1011.7,5.2,184,"No"
08:50:30,31.9,45.4,1011.6,5.4,185,"No"
08:50:35,31.8,46.0,1011.5,5.5,186,"No"
08:50:40,31.7,46.6,1011.3,5.7,187,"No"
08:50:45,31.6,47.1,1011.2,5.8,188,"No"
08:50:50,31.5,47.7,1011.1,6.0,189,"No"
08:50:55,31.4,48.3,1010.9,6.1,189,"No"
08:51:00,31.3,48.9,1010.8,6.3,190,"No"
08:51:05,31.2,49.4,1010.7,6.4,191,"No"
08:51:10,31.1,50.0,1010.5,6.6,192,"No"
08:51:15,31.0,50.6,1010.4,6.7,193,"No"
08:51:20,30.9,51.1,1010.3,6.9,194,"No"
08:51:25,30.8,51.7,1010.1,7.0,194,"No"
08:51:30,30.7,52.3,1010.0,7.2,195,"No"
08:51:35,30.6,52.9,1009.9,7.3,196,"No"
08:51:40,30.5,53.4,1009.7,7.5,197,"No"
08:51:45,30.4,54.0,1009.6,7.6,198,"No"
08:51:50,30.7,54.5,1009.6,7.3,198,"Light Rain"
08:51:55,30.5,55.8,1009.3,7.8,201,"Light Rain"
08:52:00,30.2,57.0,1009.0,8.2,204,"Light Rain"
08:52:05,30.0,58.3,1008.7,8.7,206,"Light Rain"
08:52:10,29.8,59.6,1008.4,9.2,209,"Light Rain"
08:52:15,29.5,60.8,1008.1,9.6,212,"Light Rain"
08:52:20,29.3,62.1,1007.8,10.1,215,"Light Rain"
08:52:25,29.1,63.4,1007.5,10.6,217,"Moderate Rain"
08:52:30,28.8,64.6,1007.2,11.0,220,"Moderate Rain"
08:52:35,28.6,65.9,1006.9,11.5,223,"Moderate Rain"
08:52:40,28.4,67.2,1006.6,12.0,226,"Moderate Rain"
08:52:45,28.1,68.4,1006.3,12.4,228,"Moderate Rain"
08:52:50,27.9,69.7,1006.0,12.9,231,"Moderate Rain"
08:52:55,27.7,71.0,1005.7,13.4,234,"Moderate Rain"
08:53:00,27.4,72.2,1005.4,13.8,237,"Moderate Rain"
08:53:05,27.2,73.5,1005.1,14.3,239,"Moderate Rain"
08:53:10,27.0,74.8,1004.8,14.8,242,"Moderate Rain"
08:53:15,26.7,76.0,1004.5,15.2,245,"Moderate Rain"
08:53:20,26.5,77.3,1004.2,15.7,248,"Moderate Rain"
08:53:25,26.3,78.6,1003.9,16.2,250,"Moderate Rain"
08:53:30,26.0,79.8,1003.6,16.6,253,"Moderate Rain"
08:53:35,25.8,81.0,1003.4,17.1,256,"Moderate Rain"
08:53:40,25.1,83.4,1002.3,18.9,265,"Heavy Downpour"
08:53:45,24.6,85.2,1001.2,20.4,274,"Heavy Downpour"
08:53:50,24.1,87.0,1000.1,21.8,283,"Heavy Downpour"
08:53:55,23.6,88.8,999.0,23.3,292,"Heavy Downpour"
08:54:00,23.1,90.6,998.0,24.8,301,"Heavy Downpour"
08:54:05,22.6,92.4,997.3,26.2,310,"Heavy Downpour"
08:54:10,22.0,94.2,996.9,27.5,319,"Heavy Downpour"
08:54:15,21.6,95.8,996.8,28.4,328,"Heavy Downpour"
08:54:20,21.4,96.5,996.9,28.7,337,"Heavy Downpour"
08:54:25,21.7,95.5,997.2,28.1,346,"Heavy Downpour"
08:54:30,22.1,94.0,997.8,27.0,355,"Heavy Downpour"
08:54:35,22.6,92.2,998.5,25.6,4,"Heavy Downpour"
08:54:40,23.1,90.4,999.3,24.1,13,"Heavy Downpour"
08:54:45,23.6,88.5,1000.2,22.5,22,"Heavy Downpour"
08:54:50,24.1,86.5,1001.2,20.8,31,"Heavy Downpour"
08:54:55,24.6,84.5,1002.2,19.1,40,"Heavy Downpour"
08:55:00,25.1,82.5,1003.2,17.5,49,"Moderate Rain"
08:55:05,25.6,80.5,1004.1,16.0,58,"Moderate Rain"
08:55:10,26.1,78.5,1005.0,14.6,67,"Moderate Rain"
08:55:15,26.5,76.5,1005.9,13.2,76,"Moderate Rain"
08:55:20,27.0,74.5,1006.7,11.9,85,"Light Rain"
08:55:25,27.4,72.5,1007.5,10.7,94,"Light Rain"
08:55:30,27.9,70.5,1008.3,9.5,103,"Light Rain"
08:55:35,28.3,68.5,1009.0,8.4,112,"Light Rain"
08:55:40,28.8,66.5,1009.7,7.4,121,"No"
08:55:45,29.2,64.5,1010.3,6.5,130,"No"
08:55:50,29.6,62.5,1010.9,5.7,139,"No"
08:55:55,30.0,60.5,1011.5,5.1,148,"No"
08:56:00,30.4,58.5,1012.0,4.6,157,"No"
08:56:05,30.7,56.5,1012.5,4.3,166,"No"
08:56:10,31.0,54.5,1012.9,4.2,175,"No"
08:56:15,31.3,52.5,1013.2,4.1,184,"No"
08:56:20,31.5,50.5,1013.4,4.0,190,"No"
