timestamp,latitude,longitude,altitude,heading,airspeed
08:50:00,28.42000,76.88000,1550,38,124
08:50:05,28.42667,76.88452,1554,38,124
08:50:10,28.43333,76.88905,1557,38,124
08:50:15,28.44000,76.89357,1560,39,123
08:50:20,28.44667,76.89810,1563,39,123
08:50:25,28.45333,76.90262,1566,39,123
08:50:30,28.46000,76.90714,1569,40,123
08:50:35,28.46667,76.91167,1571,40,122
08:50:40,28.47333,76.91619,1573,40,122
08:50:45,28.48000,76.92071,1575,40,122
08:50:50,28.48667,76.92524,1577,41,122
08:50:55,28.49333,76.92976,1579,41,121
08:51:00,28.50000,76.93429,1580,41,121
08:51:05,28.50667,76.93881,1581,41,121
08:51:10,28.51333,76.94333,1582,42,121
08:51:15,28.52000,76.94786,1583,42,120
08:51:20,28.52667,76.95238,1584,42,120
08:51:25,28.53333,76.95690,1584,42,120
08:51:30,28.54000,76.96143,1585,42,120
08:51:35,28.54667,76.96595,1585,42,120
08:51:40,28.55333,76.97048,1585,42,120
08:51:45,28.56000,76.97500,1585,42,120
08:51:50,28.56500,76.98000,1580,44,120
08:51:55,28.57000,76.98405,1558,44,120
08:52:00,28.57500,76.98810,1536,44,120
08:52:05,28.58000,76.99214,1514,44,119
08:52:10,28.58500,76.99619,1492,44,119
08:52:15,28.59000,77.00024,1470,44,119
08:52:20,28.59500,77.00429,1448,45,118
08:52:25,28.60000,77.00833,1426,45,118
08:52:30,28.60500,77.01238,1404,45,118
08:52:35,28.61000,77.01643,1382,45,117
08:52:40,28.61500,77.02048,1360,45,117
08:52:45,28.62000,77.02452,1338,45,117
08:52:50,28.62500,77.02857,1316,45,116
08:52:55,28.63000,77.03262,1294,45,116
08:53:00,28.63500,77.03667,1272,46,116
08:53:05,28.64000,77.04071,1250,46,115
08:53:10,28.64500,77.04476,1228,46,115
08:53:15,28.65000,77.04881,1206,46,115
08:53:20,28.65500,77.05286,1184,46,114
08:53:25,28.66000,77.05690,1162,46,114
08:53:30,28.66500,77.06095,1140,46,114
08:53:35,28.67000,77.06500,1118,46,114
08:53:40,28.67380,77.07360,1085,49,113
08:53:45,28.67750,77.07730,1050,52,112
08:53:50,28.68130,77.08090,1015,55,111
08:53:55,28.68500,77.08460,980,58,110
08:54:00,28.68880,77.08820,945,61,109
08:54:05,28.69250,77.09190,910,64,108
08:54:10,28.69630,77.09550,880,68,106
08:54:15,28.70000,77.09920,860,71,105
08:54:20,28.70380,77.10280,850,75,103
08:54:25,28.70560,77.10640,860,80,103
08:54:30,28.70750,77.11000,880,85,104
08:54:35,28.70940,77.11360,910,90,105
08:54:40,28.71130,77.11720,945,95,106
08:54:45,28.71310,77.12080,985,100,107
08:54:50,28.71500,77.12440,1030,105,108
08:54:55,28.71690,77.12800,1080,110,110
08:55:00,28.71800,77.13500,1130,115,112
08:55:05,28.71140,77.14350,1185,117,114
08:55:10,28.70480,77.15190,1240,119,116
08:55:15,28.69820,77.16040,1295,121,118
08:55:20,28.69160,77.16890,1350,123,120
08:55:25,28.68500,77.17730,1405,125,122
08:55:30,28.67840,77.18580,1455,127,124
08:55:35,28.67180,77.19430,1505,129,126
08:55:40,28.66520,77.20270,1550,131,128
08:55:45,28.65860,77.21120,1590,133,130
08:55:50,28.65200,77.21970,1625,135,132
08:55:55,28.64540,77.22810,1650,137,134
08:56:00,28.63880,77.23660,1660,139,136
08:56:05,28.63220,77.24510,1660,141,137
08:56:10,28.62560,77.25350,1660,143,138
08:56:15,28.61900,77.26200,1660,145,139
08:56:20,28.61240,77.27050,1660,145,140
